sentence,labels,object labels
the pilot next to the architects,0,1
the poem from the parents,0,1
the customer to the side of the skaters,0,1
the officer to the side of the chefs,0,1
the poem by the taxi drivers,0,1
the manager in front of the taxi drivers,0,1
the pilot next to the skaters,0,1
the customer across from the dancers,0,1
the surgeon near the dancers,0,1
the surgeon near the skaters,0,1
the officer behind the parents,0,1
the show by the skaters,0,1
the customer near the skaters,0,1
the pilot across from the guards,0,1
the officer across from the guards,0,1
the officer behind the dancers,0,1
the farmer behind the assistants,0,1
the consultant next to the chefs,0,1
the customer across from the guards,0,1
the customer behind the chefs,0,1
the customer next to the ministers,0,1
the pilot in front of the dancers,0,1
the senator behind the skaters,0,1
the surgeon in front of the dancers,0,1
the book from the architects,0,1
the officer across from the executives,0,1
the show from the chefs,0,1
the manager in front of the dancers,0,1
the teacher in front of the guards,0,1
the customer in front of the executives,0,1
the author in front of the chefs,0,1
the surgeon across from the architects,0,1
the officer next to the ministers,0,1
the teacher to the side of the assistants,0,1
the pilot across from the architects,0,1
the teacher across from the dancers,0,1
the teacher near the dancers,0,1
the book from the guards,0,1
the picture from the skaters,0,1
the senator near the parents,0,1
the senator behind the assistants,0,1
the song from the chefs,0,1
the manager to the side of the architects,0,1
the pilot to the side of the guards,0,1
the officer behind the architects,0,1
the consultant in front of the architects,0,1
the author in front of the assistants,0,1
the officer near the chefs,0,1
the pilot next to the assistants,0,1
the officer next to the assistants,0,1
the senator behind the taxi drivers,0,1
the game from the assistants,0,1
the show by the architects,0,1
the poem from the architects,0,1
the customer near the executives,0,1
the teacher across from the architects,0,1
the teacher next to the dancers,0,1
the manager to the side of the assistants,0,1
the book by the guards,0,1
the author in front of the taxi drivers,0,1
the teacher behind the taxi drivers,0,1
the teacher across from the executives,0,1
the picture by the guards,0,1
the consultant next to the assistants,0,1
the farmer to the side of the taxi drivers,0,1
the consultant next to the ministers,0,1
the novel by the architects,0,1
the manager behind the assistants,0,1
the pilot near the chefs,0,1
the manager in front of the executives,0,1
the movie by the assistants,0,1
the poem by the guards,0,1
the manager near the executives,0,1
the poem from the ministers,0,1
the senator to the side of the assistants,0,1
the book from the parents,0,1
the game from the ministers,0,1
the poem by the executives,0,1
the manager next to the skaters,0,1
the pilot to the side of the skaters,0,1
the manager behind the skaters,0,1
the picture by the parents,0,1
the surgeon next to the skaters,0,1
the author across from the dancers,0,1
the surgeon near the parents,0,1
the surgeon in front of the taxi drivers,0,1
the author across from the assistants,0,1
the novel from the ministers,0,1
the customer next to the dancers,0,1
the novel from the skaters,0,1
the customer across from the architects,0,1
the senator near the skaters,0,1
the surgeon next to the parents,0,1
the farmer in front of the guards,0,1
the teacher to the side of the skaters,0,1
the surgeon next to the ministers,0,1
the game by the parents,0,1
the farmer near the executives,0,1
the surgeon to the side of the parents,0,1
the teacher near the taxi drivers,0,1
the farmer next to the skaters,0,1
the pilot near the ministers,0,1
the farmer next to the architects,0,1
the pilot in front of the executives,0,1
the manager next to the taxi drivers,0,1
the farmer across from the guards,0,1
the consultant near the skaters,0,1
the teacher in front of the dancers,0,1
the consultant behind the architects,0,1
the novel by the chefs,0,1
the officer behind the guards,0,1
the author next to the guards,0,1
the picture from the assistants,0,1
the officer near the parents,0,1
the officer behind the ministers,0,1
the teacher next to the ministers,0,1
the farmer across from the ministers,0,1
the pilot to the side of the parents,0,1
the teacher to the side of the architects,0,1
the officer next to the guards,0,1
the manager next to the chefs,0,1
the consultant next to the taxi drivers,0,1
the movie by the skaters,0,1
the pilot behind the chefs,0,1
the author next to the parents,0,1
the pilot behind the guards,0,1
the movie by the guards,0,1
the movie by the parents,0,1
the teacher across from the skaters,0,1
the show by the ministers,0,1
the author behind the guards,0,1
the author next to the executives,0,1
the book by the skaters,0,1
the pilot across from the chefs,0,1
the surgeon in front of the skaters,0,1
the teacher behind the executives,0,1
the farmer behind the parents,0,1
the manager behind the guards,0,1
the game from the executives,0,1
the movie by the architects,0,1
the book from the skaters,0,1
the consultant to the side of the architects,0,1
the consultant in front of the parents,0,1
the officer next to the dancers,0,1
the picture from the executives,0,1
the song from the parents,0,1
the author next to the taxi drivers,0,1
the surgeon to the side of the assistants,0,1
the officer in front of the ministers,0,1
the book by the architects,0,1
the farmer to the side of the architects,0,1
the song from the executives,0,1
the novel from the taxi drivers,0,1
the customer to the side of the guards,0,1
the customer behind the assistants,0,1
the farmer in front of the assistants,0,1
the picture by the ministers,0,1
the painting by the assistants,0,1
the consultant near the chefs,0,1
the poem by the dancers,0,1
the author across from the architects,0,1
the surgeon near the taxi drivers,0,1
the farmer next to the guards,0,1
the manager next to the guards,0,1
the farmer to the side of the assistants,0,1
the book from the ministers,0,1
the pilot next to the guards,0,1
the teacher behind the ministers,0,1
the senator next to the dancers,0,1
the farmer next to the taxi drivers,0,1
the manager in front of the parents,0,1
the manager near the guards,0,1
the author near the taxi drivers,0,1
the picture from the dancers,0,1
the manager next to the executives,0,1
the senator in front of the dancers,0,1
the show from the dancers,0,1
the surgeon in front of the executives,0,1
the book by the chefs,0,1
the pilot near the guards,0,1
the consultant to the side of the taxi drivers,0,1
the customer to the side of the assistants,0,1
the teacher in front of the parents,0,1
the surgeon near the assistants,0,1
the novel from the dancers,0,1
the show by the taxi drivers,0,1
the consultant in front of the guards,0,1
the officer in front of the chefs,0,1
the consultant across from the executives,0,1
the picture from the chefs,0,1
the poem by the assistants,0,1
the farmer across from the skaters,0,1
the teacher across from the taxi drivers,0,1
the farmer to the side of the skaters,0,1
the poem from the chefs,0,1
the surgeon near the chefs,0,1
the teacher to the side of the guards,0,1
the game by the taxi drivers,0,1
the pilot next to the taxi drivers,0,1
the pilot behind the architects,0,1
the senator next to the executives,0,1
the book from the dancers,0,1
the farmer across from the parents,0,1
the customer behind the guards,0,1
the customer behind the taxi drivers,0,1
the author in front of the parents,0,1
the author to the side of the chefs,0,1
the farmer near the assistants,0,1
the officer in front of the dancers,0,1
the teacher next to the executives,0,1
the consultant across from the skaters,0,1
the consultant next to the dancers,0,1
the surgeon to the side of the guards,0,1
the officer in front of the parents,0,1
the song by the guards,0,1
the customer to the side of the ministers,0,1
the manager next to the dancers,0,1
the surgeon behind the dancers,0,1
the manager behind the architects,0,1
the book by the dancers,0,1
the show by the chefs,0,1
the game from the skaters,0,1
the surgeon across from the dancers,0,1
the surgeon near the architects,0,1
the customer across from the skaters,0,1
the senator to the side of the taxi drivers,0,1
the senator across from the executives,0,1
the book from the taxi drivers,0,1
the movie by the chefs,0,1
the pilot in front of the skaters,0,1
the show by the parents,0,1
the surgeon near the guards,0,1
the surgeon in front of the assistants,0,1
the customer near the parents,0,1
the manager in front of the architects,0,1
the teacher near the architects,0,1
the farmer next to the executives,0,1
the farmer behind the skaters,0,1
the officer near the skaters,0,1
the pilot near the executives,0,1
the senator near the assistants,0,1
the song from the ministers,0,1
the customer across from the ministers,0,1
the novel from the parents,0,1
the customer in front of the parents,0,1
the officer to the side of the ministers,0,1
the consultant across from the taxi drivers,0,1
the farmer across from the chefs,0,1
the pilot near the architects,0,1
the pilot in front of the ministers,0,1
the author near the skaters,0,1
the novel by the dancers,0,1
the poem by the chefs,0,1
the author near the guards,0,1
the poem by the ministers,0,1
the poem by the parents,0,1
the manager across from the parents,0,1
the officer to the side of the dancers,0,1
the senator next to the skaters,0,1
the game from the taxi drivers,0,1
the game from the chefs,0,1
the author across from the executives,0,1
the farmer in front of the skaters,0,1
the teacher to the side of the executives,0,1
the painting from the dancers,0,1
the show by the dancers,0,1
the consultant in front of the chefs,0,1
the pilot next to the dancers,0,1
the movie from the parents,0,1
the picture from the architects,0,1
the pilot to the side of the dancers,0,1
the author to the side of the taxi drivers,0,1
the consultant across from the dancers,0,1
the painting from the skaters,0,1
the manager near the chefs,0,1
the manager behind the executives,0,1
the senator to the side of the dancers,0,1
the senator to the side of the guards,0,1
the author near the architects,0,1
the picture by the executives,0,1
the manager near the parents,0,1
the farmer near the guards,0,1
the teacher behind the architects,0,1
the painting from the guards,0,1
the manager near the ministers,0,1
the author to the side of the parents,0,1
the game from the guards,0,1
the consultant behind the ministers,0,1
the consultant in front of the ministers,0,1
the consultant to the side of the assistants,0,1
the surgeon to the side of the architects,0,1
the consultant behind the skaters,0,1
the movie from the ministers,0,1
the teacher near the chefs,0,1
the farmer behind the guards,0,1
the farmer next to the ministers,0,1
the farmer next to the dancers,0,1
the officer in front of the taxi drivers,0,1
the senator near the executives,0,1
the officer across from the assistants,0,1
the teacher near the parents,0,1
the senator across from the dancers,0,1
the show from the guards,0,1
the senator across from the skaters,0,1
the customer to the side of the dancers,0,1
the senator across from the assistants,0,1
the farmer behind the executives,0,1
the surgeon across from the executives,0,1
the customer to the side of the chefs,0,1
the officer to the side of the guards,0,1
the pilot next to the executives,0,1
the game by the chefs,0,1
the teacher in front of the assistants,0,1
the officer next to the parents,0,1
the poem from the assistants,0,1
the picture by the taxi drivers,0,1
the officer across from the skaters,0,1
the game by the assistants,0,1
the novel by the taxi drivers,0,1
the farmer next to the chefs,0,1
the author across from the skaters,0,1
the customer across from the assistants,0,1
the surgeon in front of the chefs,0,1
the manager near the architects,0,1
the consultant to the side of the parents,0,1
the author to the side of the guards,0,1
the pilot across from the executives,0,1
the picture by the assistants,0,1
the customer behind the architects,0,1
the officer next to the executives,0,1
the manager across from the guards,0,1
the teacher to the side of the taxi drivers,0,1
the customer to the side of the architects,0,1
the novel by the skaters,0,1
the farmer behind the architects,0,1
the senator behind the ministers,0,1
the pilot near the taxi drivers,0,1
the manager next to the assistants,0,1
the author behind the parents,0,1
the manager to the side of the chefs,0,1
the novel from the architects,0,1
the consultant to the side of the ministers,0,1
the senator across from the guards,0,1
the pilot across from the skaters,0,1
the customer near the guards,0,1
the surgeon next to the guards,0,1
the book by the executives,0,1
the surgeon behind the assistants,0,1
the surgeon across from the ministers,0,1
the book from the chefs,0,1
the customer in front of the guards,0,1
the show from the assistants,0,1
the pilot near the assistants,0,1
the teacher behind the dancers,0,1
the teacher to the side of the parents,0,1
the customer in front of the ministers,0,1
the pilot to the side of the executives,0,1
the farmer behind the ministers,0,1
the customer next to the guards,0,1
the manager across from the executives,0,1
the consultant in front of the executives,0,1
the picture by the architects,0,1
the customer near the dancers,0,1
the teacher next to the taxi drivers,0,1
the author to the side of the ministers,0,1
the officer across from the dancers,0,1
the show from the skaters,0,1
the consultant to the side of the executives,0,1
the song by the ministers,0,1
the author to the side of the executives,0,1
the author in front of the architects,0,1
the teacher in front of the skaters,0,1
the author across from the ministers,0,1
the customer across from the executives,0,1
the teacher across from the ministers,0,1
the consultant in front of the assistants,0,1
the officer across from the taxi drivers,0,1
the movie from the architects,0,1
the officer to the side of the executives,0,1
the consultant across from the ministers,0,1
the surgeon behind the parents,0,1
the consultant in front of the skaters,0,1
the customer in front of the skaters,0,1
the senator across from the chefs,0,1
the senator across from the taxi drivers,0,1
the pilot to the side of the assistants,0,1
the teacher in front of the taxi drivers,0,1
the manager in front of the guards,0,1
the teacher next to the skaters,0,1
the consultant near the guards,0,1
the author behind the dancers,0,1
the surgeon across from the parents,0,1
the teacher behind the assistants,0,1
the song by the architects,0,1
the consultant next to the executives,0,1
the movie from the guards,0,1
the surgeon to the side of the dancers,0,1
the officer to the side of the taxi drivers,0,1
the senator in front of the taxi drivers,0,1
the senator to the side of the parents,0,1
the pilot near the dancers,0,1
the manager near the assistants,0,1
the manager to the side of the ministers,0,1
the farmer in front of the ministers,0,1
the author near the executives,0,1
the farmer in front of the executives,0,1
the manager next to the architects,0,1
the officer near the architects,0,1
the surgeon behind the ministers,0,1
the customer near the chefs,0,1
the farmer in front of the chefs,0,1
the manager to the side of the guards,0,1
the teacher behind the skaters,0,1
the painting by the ministers,0,1
the customer in front of the architects,0,1
the senator next to the parents,0,1
the customer behind the skaters,0,1
the author next to the skaters,0,1
the teacher behind the guards,0,1
the painting by the chefs,0,1
the manager across from the taxi drivers,0,1
the senator across from the ministers,0,1
the surgeon across from the skaters,0,1
the farmer near the taxi drivers,0,1
the song from the taxi drivers,0,1
the painting by the guards,0,1
the manager to the side of the taxi drivers,0,1
the surgeon behind the guards,0,1
the customer across from the chefs,0,1
the farmer in front of the parents,0,1
the consultant behind the dancers,0,1
the movie by the ministers,0,1
the manager across from the skaters,0,1
the farmer in front of the dancers,0,1
the author next to the architects,0,1
the pilot behind the ministers,0,1
the surgeon across from the taxi drivers,0,1
the customer next to the skaters,0,1
the painting from the architects,0,1
the senator next to the chefs,0,1
the senator in front of the chefs,0,1
the farmer across from the architects,0,1
the manager near the skaters,0,1
the farmer near the dancers,0,1
the show from the architects,0,1
the game by the dancers,0,1
the teacher near the assistants,0,1
the book by the taxi drivers,0,1
the song by the executives,0,1
the picture from the parents,0,1
the painting from the chefs,0,1
the pilot behind the taxi drivers,0,1
the farmer near the chefs,0,1
the painting by the dancers,0,1
the surgeon in front of the parents,0,1
the teacher in front of the chefs,0,1
the farmer behind the taxi drivers,0,1
the teacher in front of the architects,0,1
the farmer to the side of the parents,0,1
the pilot to the side of the ministers,0,1
the customer to the side of the taxi drivers,0,1
the manager near the taxi drivers,0,1
the senator behind the architects,0,1
the manager in front of the chefs,0,1
the painting from the parents,0,1
the novel by the parents,0,1
the surgeon to the side of the taxi drivers,0,1
the song from the dancers,0,1
the manager to the side of the skaters,0,1
the surgeon to the side of the ministers,0,1
the poem from the taxi drivers,0,1
the consultant near the architects,0,1
the officer behind the skaters,0,1
the consultant next to the architects,0,1
the poem from the skaters,0,1
the senator to the side of the executives,0,1
the senator to the side of the architects,0,1
the movie from the chefs,0,1
the author in front of the skaters,0,1
the customer in front of the chefs,0,1
the pilot across from the parents,0,1
the game by the executives,0,1
the picture by the chefs,0,1
the teacher next to the chefs,0,1
the farmer to the side of the guards,0,1
the game by the ministers,0,1
the surgeon behind the architects,0,1
the song from the assistants,0,1
the manager across from the assistants,0,1
the senator in front of the assistants,0,1
the author behind the taxi drivers,0,1
the surgeon behind the taxi drivers,0,1
the teacher near the ministers,0,1
the game by the skaters,0,1
the farmer to the side of the dancers,0,1
the poem by the architects,0,1
the show by the guards,0,1
the senator in front of the skaters,0,1
the author across from the parents,0,1
the game from the parents,0,1
the author behind the assistants,0,1
the teacher to the side of the dancers,0,1
the officer in front of the executives,0,1
the poem by the skaters,0,1
the pilot behind the dancers,0,1
the author near the ministers,0,1
the senator next to the assistants,0,1
the senator near the chefs,0,1
the surgeon behind the chefs,0,1
the song by the assistants,0,1
the customer behind the parents,0,1
the officer near the dancers,0,1
the pilot across from the dancers,0,1
the senator next to the architects,0,1
the customer across from the parents,0,1
the pilot across from the taxi drivers,0,1
the customer to the side of the executives,0,1
the pilot next to the ministers,0,1
the consultant near the executives,0,1
the surgeon behind the skaters,0,1
the painting by the taxi drivers,0,1
the senator in front of the architects,0,1
the painting by the architects,0,1
the song by the taxi drivers,0,1
the farmer across from the assistants,0,1
the author next to the chefs,0,1
the game by the architects,0,1
the consultant across from the parents,0,1
the pilot behind the skaters,0,1
the customer in front of the assistants,0,1
the novel from the assistants,0,1
the surgeon next to the assistants,0,1
the author behind the architects,0,1
the pilot to the side of the architects,0,1
the officer to the side of the skaters,0,1
the manager across from the ministers,0,1
the officer to the side of the assistants,0,1
the painting from the taxi drivers,0,1
the teacher to the side of the ministers,0,1
the surgeon next to the dancers,0,1
the consultant near the dancers,0,1
the consultant near the assistants,0,1
the farmer near the ministers,0,1
the customer next to the chefs,0,1
the teacher near the guards,0,1
the picture by the dancers,0,1
the novel from the chefs,0,1
the teacher in front of the executives,0,1
the senator in front of the ministers,0,1
the author to the side of the skaters,0,1
the movie from the skaters,0,1
the painting by the skaters,0,1
the consultant next to the skaters,0,1
the senator in front of the executives,0,1
the consultants to the side of the dancer,1,0
the teachers across from the assistant,1,0
the farmers behind the parent,1,0
the managers across from the architect,1,0
the consultants to the side of the executive,1,0
the pilots in front of the skater,1,0
the customers behind the executive,1,0
the authors in front of the assistant,1,0
the customers across from the dancer,1,0
the consultants next to the architect,1,0
the poems from the chef,1,0
the customers in front of the minister,1,0
the surgeons behind the executive,1,0
the authors to the side of the guard,1,0
the teachers to the side of the parent,1,0
the consultants next to the skater,1,0
the novels by the skater,1,0
the pilots across from the minister,1,0
the teachers near the skater,1,0
the movies from the guard,1,0
the farmers across from the architect,1,0
the consultants near the executive,1,0
the novels from the taxi driver,1,0
the books by the taxi driver,1,0
the managers next to the guard,1,0
the books from the guard,1,0
the authors next to the minister,1,0
the novels from the minister,1,0
the farmers across from the guard,1,0
the farmers near the minister,1,0
the surgeons near the architect,1,0
the officers near the parent,1,0
the managers next to the minister,1,0
the senators in front of the skater,1,0
the movies from the executive,1,0
the authors to the side of the skater,1,0
the senators in front of the chef,1,0
the officers to the side of the chef,1,0
the novels from the dancer,1,0
the poems by the taxi driver,1,0
the surgeons to the side of the assistant,1,0
the pilots behind the skater,1,0
the officers in front of the chef,1,0
the authors near the dancer,1,0
the surgeons to the side of the parent,1,0
the movies from the minister,1,0
the pilots next to the taxi driver,1,0
the farmers next to the guard,1,0
the senators in front of the guard,1,0
the officers in front of the guard,1,0
the consultants across from the skater,1,0
the consultants near the chef,1,0
the customers across from the chef,1,0
the poems by the parent,1,0
the managers in front of the executive,1,0
the officers in front of the skater,1,0
the pilots to the side of the minister,1,0
the surgeons across from the dancer,1,0
the teachers in front of the architect,1,0
the managers near the guard,1,0
the farmers near the architect,1,0
the authors behind the architect,1,0
the farmers in front of the chef,1,0
the managers behind the dancer,1,0
the managers next to the dancer,1,0
the teachers behind the skater,1,0
the senators near the chef,1,0
the farmers behind the executive,1,0
the books from the taxi driver,1,0
the managers next to the parent,1,0
the pilots behind the guard,1,0
the pilots across from the chef,1,0
the paintings by the executive,1,0
the books by the assistant,1,0
the books by the parent,1,0
the surgeons to the side of the architect,1,0
the customers behind the assistant,1,0
the teachers behind the executive,1,0
the senators next to the executive,1,0
the customers in front of the chef,1,0
the paintings from the guard,1,0
the books by the skater,1,0
the managers near the dancer,1,0
the managers to the side of the minister,1,0
the officers next to the architect,1,0
the consultants near the taxi driver,1,0
the senators to the side of the architect,1,0
the customers across from the skater,1,0
the teachers next to the chef,1,0
the pictures by the architect,1,0
the senators in front of the assistant,1,0
the songs by the architect,1,0
the pictures from the minister,1,0
the officers to the side of the guard,1,0
the surgeons in front of the parent,1,0
the consultants next to the chef,1,0
the officers to the side of the skater,1,0
the farmers next to the minister,1,0
the shows from the guard,1,0
the teachers to the side of the guard,1,0
the authors behind the guard,1,0
the authors next to the executive,1,0
the officers next to the executive,1,0
the officers near the taxi driver,1,0
the consultants near the assistant,1,0
the senators behind the guard,1,0
the poems by the guard,1,0
the farmers in front of the skater,1,0
the customers behind the taxi driver,1,0
the customers across from the architect,1,0
the authors near the parent,1,0
the consultants near the parent,1,0
the pilots near the guard,1,0
the managers near the chef,1,0
the teachers next to the guard,1,0
the consultants in front of the skater,1,0
the consultants to the side of the architect,1,0
the novels from the architect,1,0
the officers behind the assistant,1,0
the officers near the chef,1,0
the farmers across from the minister,1,0
the paintings by the assistant,1,0
the movies from the parent,1,0
the surgeons next to the assistant,1,0
the authors to the side of the minister,1,0
the officers to the side of the taxi driver,1,0
the pictures by the assistant,1,0
the consultants in front of the parent,1,0
the customers across from the taxi driver,1,0
the pictures by the parent,1,0
the shows from the parent,1,0
the farmers across from the skater,1,0
the pilots behind the architect,1,0
the surgeons across from the assistant,1,0
the movies from the architect,1,0
the paintings from the skater,1,0
the books by the executive,1,0
the customers in front of the guard,1,0
the teachers next to the dancer,1,0
the pilots near the chef,1,0
the farmers next to the assistant,1,0
the movies by the skater,1,0
the teachers across from the dancer,1,0
the senators across from the taxi driver,1,0
the paintings by the guard,1,0
the teachers to the side of the taxi driver,1,0
the farmers to the side of the chef,1,0
the authors in front of the skater,1,0
the customers to the side of the dancer,1,0
the consultants behind the dancer,1,0
the managers in front of the chef,1,0
the senators behind the minister,1,0
the surgeons in front of the executive,1,0
the managers next to the taxi driver,1,0
the senators behind the chef,1,0
the managers to the side of the skater,1,0
the authors next to the parent,1,0
the pictures by the dancer,1,0
the pilots in front of the minister,1,0
the consultants across from the executive,1,0
the pilots next to the skater,1,0
the surgeons in front of the guard,1,0
the teachers near the chef,1,0
the pilots to the side of the guard,1,0
the paintings from the taxi driver,1,0
the games by the skater,1,0
the shows by the executive,1,0
the authors to the side of the chef,1,0
the authors behind the minister,1,0
the songs from the skater,1,0
the pictures by the taxi driver,1,0
the surgeons behind the architect,1,0
the pilots across from the architect,1,0
the managers behind the assistant,1,0
the poems by the executive,1,0
the teachers in front of the chef,1,0
the surgeons in front of the assistant,1,0
the officers behind the executive,1,0
the poems from the taxi driver,1,0
the senators near the dancer,1,0
the surgeons in front of the skater,1,0
the surgeons near the skater,1,0
the paintings from the architect,1,0
the pictures from the executive,1,0
the surgeons behind the chef,1,0
the games from the taxi driver,1,0
the poems by the assistant,1,0
the pilots to the side of the architect,1,0
the consultants in front of the dancer,1,0
the books by the dancer,1,0
the consultants to the side of the chef,1,0
the pictures by the skater,1,0
the teachers in front of the guard,1,0
the surgeons near the taxi driver,1,0
the teachers behind the taxi driver,1,0
the games from the guard,1,0
the surgeons across from the chef,1,0
the surgeons across from the architect,1,0
the farmers near the assistant,1,0
the senators behind the dancer,1,0
the customers next to the guard,1,0
the managers next to the skater,1,0
the consultants in front of the assistant,1,0
the managers in front of the taxi driver,1,0
the surgeons near the minister,1,0
the farmers behind the assistant,1,0
the pilots to the side of the skater,1,0
the books from the assistant,1,0
the pictures from the guard,1,0
the pictures by the minister,1,0
the consultants to the side of the minister,1,0
the managers behind the chef,1,0
the novels from the parent,1,0
the teachers near the minister,1,0
the authors next to the assistant,1,0
the shows from the chef,1,0
the customers near the executive,1,0
the consultants behind the architect,1,0
the consultants in front of the minister,1,0
the customers behind the guard,1,0
the games from the dancer,1,0
the surgeons next to the executive,1,0
the teachers next to the architect,1,0
the authors near the executive,1,0
the farmers to the side of the minister,1,0
the managers near the executive,1,0
the authors in front of the minister,1,0
the officers to the side of the parent,1,0
the songs by the parent,1,0
the teachers to the side of the chef,1,0
the movies by the parent,1,0
the officers next to the taxi driver,1,0
the consultants behind the executive,1,0
the senators across from the chef,1,0
the officers across from the dancer,1,0
the games from the assistant,1,0
the pilots next to the chef,1,0
the farmers near the guard,1,0
the games by the parent,1,0
the teachers behind the minister,1,0
the farmers across from the chef,1,0
the customers near the parent,1,0
the officers in front of the parent,1,0
the officers across from the guard,1,0
the officers near the minister,1,0
the surgeons across from the taxi driver,1,0
the consultants across from the architect,1,0
the songs by the dancer,1,0
the managers behind the architect,1,0
the novels from the skater,1,0
the pictures by the guard,1,0
the poems from the minister,1,0
the pilots near the minister,1,0
the managers to the side of the architect,1,0
the poems by the minister,1,0
the officers next to the assistant,1,0
the surgeons to the side of the minister,1,0
the senators to the side of the minister,1,0
the farmers next to the parent,1,0
the movies from the taxi driver,1,0
the novels by the parent,1,0
the managers to the side of the assistant,1,0
the novels by the chef,1,0
the pilots near the assistant,1,0
the senators across from the architect,1,0
the customers next to the parent,1,0
the farmers behind the dancer,1,0
the farmers across from the dancer,1,0
the consultants near the architect,1,0
the authors across from the dancer,1,0
the shows by the minister,1,0
the customers in front of the architect,1,0
the managers next to the architect,1,0
the surgeons next to the architect,1,0
the farmers in front of the dancer,1,0
the movies by the guard,1,0
the senators to the side of the parent,1,0
the surgeons to the side of the executive,1,0
the songs by the chef,1,0
the pictures by the executive,1,0
the customers next to the dancer,1,0
the managers behind the taxi driver,1,0
the teachers to the side of the skater,1,0
the teachers behind the assistant,1,0
the customers behind the skater,1,0
the farmers behind the chef,1,0
the pictures from the parent,1,0
the pilots behind the executive,1,0
the customers to the side of the skater,1,0
the consultants next to the taxi driver,1,0
the managers across from the executive,1,0
the teachers in front of the taxi driver,1,0
the consultants across from the guard,1,0
the poems by the skater,1,0
the managers across from the assistant,1,0
the senators behind the executive,1,0
the shows from the executive,1,0
the pilots to the side of the executive,1,0
the teachers to the side of the assistant,1,0
the authors in front of the architect,1,0
the consultants behind the skater,1,0
the poems from the guard,1,0
the shows by the guard,1,0
the authors next to the dancer,1,0
the teachers next to the executive,1,0
the senators next to the assistant,1,0
the officers in front of the executive,1,0
the consultants next to the minister,1,0
the books by the guard,1,0
the pilots behind the assistant,1,0
the officers behind the minister,1,0
the teachers behind the parent,1,0
the teachers across from the architect,1,0
the teachers next to the taxi driver,1,0
the authors in front of the dancer,1,0
the authors near the architect,1,0
the customers to the side of the taxi driver,1,0
the senators in front of the parent,1,0
the senators near the minister,1,0
the novels by the dancer,1,0
the managers across from the skater,1,0
the consultants behind the guard,1,0
the consultants across from the parent,1,0
the authors to the side of the assistant,1,0
the books from the chef,1,0
the managers near the assistant,1,0
the surgeons behind the assistant,1,0
the farmers behind the skater,1,0
the authors across from the assistant,1,0
the consultants across from the assistant,1,0
the customers near the guard,1,0
the authors across from the guard,1,0
the pilots in front of the assistant,1,0
the novels by the assistant,1,0
the managers in front of the skater,1,0
the pilots in front of the chef,1,0
the officers to the side of the dancer,1,0
the surgeons next to the chef,1,0
the pilots near the architect,1,0
the farmers next to the executive,1,0
the customers next to the skater,1,0
the shows by the chef,1,0
the teachers in front of the dancer,1,0
the senators near the assistant,1,0
the poems from the parent,1,0
the senators next to the dancer,1,0
the farmers in front of the guard,1,0
the songs from the parent,1,0
the farmers across from the parent,1,0
the consultants next to the dancer,1,0
the teachers in front of the minister,1,0
the customers next to the assistant,1,0
the teachers across from the taxi driver,1,0
the officers across from the taxi driver,1,0
the customers in front of the parent,1,0
the customers to the side of the chef,1,0
the senators across from the executive,1,0
the pilots to the side of the assistant,1,0
the customers across from the minister,1,0
the customers in front of the taxi driver,1,0
the authors across from the taxi driver,1,0
the novels from the executive,1,0
the pilots next to the assistant,1,0
the consultants to the side of the parent,1,0
the songs by the skater,1,0
the surgeons next to the parent,1,0
the pictures from the assistant,1,0
the officers to the side of the minister,1,0
the surgeons to the side of the taxi driver,1,0
the farmers in front of the assistant,1,0
the consultants to the side of the taxi driver,1,0
the surgeons behind the taxi driver,1,0
the officers across from the minister,1,0
the officers across from the architect,1,0
the poems from the skater,1,0
the authors to the side of the parent,1,0
the surgeons next to the skater,1,0
the teachers across from the parent,1,0
the officers near the skater,1,0
the surgeons behind the minister,1,0
the consultants near the dancer,1,0
the pilots near the dancer,1,0
the pictures by the chef,1,0
the teachers across from the guard,1,0
the movies from the dancer,1,0
the customers next to the taxi driver,1,0
the surgeons to the side of the dancer,1,0
the farmers behind the taxi driver,1,0
the authors next to the guard,1,0
the pilots next to the architect,1,0
the teachers near the parent,1,0
the senators in front of the dancer,1,0
the senators near the executive,1,0
the officers near the guard,1,0
the managers near the skater,1,0
the farmers to the side of the parent,1,0
the pictures from the chef,1,0
the senators next to the taxi driver,1,0
the shows by the dancer,1,0
the surgeons next to the minister,1,0
the songs from the guard,1,0
the pilots near the executive,1,0
the officers behind the parent,1,0
the pilots behind the taxi driver,1,0
the senators to the side of the chef,1,0
the farmers to the side of the guard,1,0
the pilots next to the dancer,1,0
the authors across from the executive,1,0
the surgeons next to the taxi driver,1,0
the teachers near the dancer,1,0
the officers in front of the taxi driver,1,0
the teachers behind the chef,1,0
the officers across from the assistant,1,0
the senators near the taxi driver,1,0
the poems by the chef,1,0
the songs from the executive,1,0
the movies by the assistant,1,0
the games by the architect,1,0
the customers near the minister,1,0
the authors in front of the chef,1,0
the pilots next to the minister,1,0
the songs from the taxi driver,1,0
the games from the minister,1,0
the officers in front of the dancer,1,0
the authors near the chef,1,0
the consultants in front of the guard,1,0
the paintings by the taxi driver,1,0
the consultants in front of the chef,1,0
the movies by the dancer,1,0
the senators next to the minister,1,0
the poems by the architect,1,0
the books by the architect,1,0
the games from the skater,1,0
the authors behind the parent,1,0
the authors near the minister,1,0
