,data,labels,counterfactual_data,var_0,counter_var_0,var_1,counter_var_1,aux_0,counter_aux_0,aux_1,counter_aux_1,aux_2,counter_aux_2,aux_3,counter_aux_3,CF_Label_0,CF_FN_0,CF_Label_1,CF_FN_1,CF_Label_2,CF_FN_2,CF_Label_3,CF_FN_3,CF_Label_4,CF_FN_4,CF_Label_5,CF_FN_5
581,61 107 113,69,110 62 113,105,9,77,111,55,59,67,48,168,172,-46,48,103,var_0 counter_var_1 +,86,counter_var_0 var_1 +,41,aux_0 counter_aux_1 *,111,counter_aux_0 aux_1 *,41,aux_2 counter_aux_3 *,111,counter_aux_2 aux_3 *
582,39 54 113,74,105 43 113,52,64,22,72,93,35,98,62,93,148,-15,62,11,var_0 counter_var_1 +,86,counter_var_0 var_1 +,3,aux_0 counter_aux_1 *,40,counter_aux_0 aux_1 *,3,aux_2 counter_aux_3 *,40,counter_aux_2 aux_3 *
583,61 16 113,75,106 14 113,105,49,83,30,77,7,45,92,77,120,45,92,22,var_0 counter_var_1 +,19,counter_var_0 var_1 +,78,aux_0 counter_aux_1 *,89,counter_aux_0 aux_1 *,78,aux_2 counter_aux_3 *,89,counter_aux_2 aux_3 *
584,99 23 113,6,55 47 113,83,87,36,51,9,102,76,8,122,102,76,8,21,var_0 counter_var_1 +,10,counter_var_0 var_1 +,72,aux_0 counter_aux_1 *,68,counter_aux_0 aux_1 *,72,aux_2 counter_aux_3 *,68,counter_aux_2 aux_3 *
585,108 19 113,3,82 41 113,25,57,91,14,14,10,89,41,127,123,89,41,39,var_0 counter_var_1 +,35,counter_var_0 var_1 +,9,aux_0 counter_aux_1 *,99,counter_aux_0 aux_1 *,9,aux_2 counter_aux_3 *,99,counter_aux_2 aux_3 *
586,66 83 113,66,20 87 113,62,61,4,2,36,107,96,46,149,107,-17,-67,64,var_0 counter_var_1 +,65,counter_var_0 var_1 +,74,aux_0 counter_aux_1 *,102,counter_aux_0 aux_1 *,74,aux_2 counter_aux_3 *,102,counter_aux_2 aux_3 *
587,5 45 113,34,102 39 113,25,8,9,61,50,28,73,63,50,141,-40,63,86,var_0 counter_var_1 +,17,counter_var_0 var_1 +,99,aux_0 counter_aux_1 *,10,counter_aux_0 aux_1 *,99,aux_2 counter_aux_3 *,10,counter_aux_2 aux_3 *
588,90 1 113,76,87 38 113,77,111,112,25,91,12,89,49,91,125,89,49,102,var_0 counter_var_1 +,110,counter_var_0 var_1 +,52,aux_0 counter_aux_1 *,51,counter_aux_0 aux_1 *,52,aux_2 counter_aux_3 *,51,counter_aux_2 aux_3 *
589,88 57 113,88,87 49 113,60,111,28,85,32,23,31,38,145,136,31,38,32,var_0 counter_var_1 +,26,counter_var_0 var_1 +,86,aux_0 counter_aux_1 *,35,counter_aux_0 aux_1 *,86,aux_2 counter_aux_3 *,35,counter_aux_2 aux_3 *
590,38 86 113,37,33 22 113,88,72,62,81,11,55,65,11,124,55,-48,11,56,var_0 counter_var_1 +,21,counter_var_0 var_1 +,8,aux_0 counter_aux_1 *,72,counter_aux_0 aux_1 *,8,aux_2 counter_aux_3 *,72,counter_aux_2 aux_3 *
591,59 42 113,22,10 14 113,91,100,44,30,101,24,17,109,101,24,17,-4,8,var_0 counter_var_1 +,31,counter_var_0 var_1 +,48,aux_0 counter_aux_1 *,69,counter_aux_0 aux_1 *,48,aux_2 counter_aux_3 *,69,counter_aux_2 aux_3 *
592,63 47 113,65,100 12 113,14,56,51,82,110,112,16,88,110,112,16,88,96,var_0 counter_var_1 +,107,counter_var_0 var_1 +,75,aux_0 counter_aux_1 *,97,counter_aux_0 aux_1 *,75,aux_2 counter_aux_3 *,97,counter_aux_2 aux_3 *
593,49 110 113,19,26 47 113,28,111,104,51,46,73,52,92,159,73,-61,-21,79,var_0 counter_var_1 +,102,counter_var_0 var_1 +,51,aux_0 counter_aux_1 *,67,counter_aux_0 aux_1 *,51,aux_2 counter_aux_3 *,67,counter_aux_2 aux_3 *
594,103 1 113,99,75 75 113,100,88,112,25,104,37,102,0,104,150,102,0,12,var_0 counter_var_1 +,87,counter_var_0 var_1 +,0,aux_0 counter_aux_1 *,45,counter_aux_0 aux_1 *,0,aux_2 counter_aux_3 *,45,counter_aux_2 aux_3 *
595,71 51 113,67,39 27 113,69,52,111,62,9,66,20,12,122,66,20,12,18,var_0 counter_var_1 +,50,counter_var_0 var_1 +,108,aux_0 counter_aux_1 *,77,counter_aux_0 aux_1 *,108,aux_2 counter_aux_3 *,77,counter_aux_2 aux_3 *
596,111 54 113,26,98 87 113,4,112,22,2,52,72,57,11,165,185,57,11,6,var_0 counter_var_1 +,21,counter_var_0 var_1 +,7,aux_0 counter_aux_1 *,36,counter_aux_0 aux_1 *,7,aux_2 counter_aux_3 *,36,counter_aux_2 aux_3 *
597,85 38 113,18,76 36 113,106,13,25,60,10,112,47,40,123,112,47,40,53,var_0 counter_var_1 +,38,counter_var_0 var_1 +,61,aux_0 counter_aux_1 *,66,counter_aux_0 aux_1 *,61,aux_2 counter_aux_3 *,66,counter_aux_2 aux_3 *
598,7 46 113,80,93 43 113,49,61,31,72,53,23,74,50,53,136,-39,50,8,var_0 counter_var_1 +,92,counter_var_0 var_1 +,51,aux_0 counter_aux_1 *,7,counter_aux_0 aux_1 *,51,aux_2 counter_aux_3 *,7,counter_aux_2 aux_3 *
599,55 24 113,76,112 96 113,87,1,102,50,79,95,31,16,79,208,31,16,24,var_0 counter_var_1 +,103,counter_var_0 var_1 +,21,aux_0 counter_aux_1 *,7,counter_aux_0 aux_1 *,21,aux_2 counter_aux_3 *,7,counter_aux_2 aux_3 *
600,49 14 113,58,70 53 113,28,41,30,16,63,10,35,17,63,123,35,17,44,var_0 counter_var_1 +,71,counter_var_0 var_1 +,54,aux_0 counter_aux_1 *,11,counter_aux_0 aux_1 *,54,aux_2 counter_aux_3 *,11,counter_aux_2 aux_3 *
601,2 79 113,91,38 6 113,4,88,87,77,81,44,36,32,81,44,-77,32,81,var_0 counter_var_1 +,62,counter_var_0 var_1 +,106,aux_0 counter_aux_1 *,2,counter_aux_0 aux_1 *,106,aux_2 counter_aux_3 *,2,counter_aux_2 aux_3 *
602,112 8 113,50,110 109 113,1,9,49,97,7,106,104,1,120,219,104,1,98,var_0 counter_var_1 +,58,counter_var_0 var_1 +,7,aux_0 counter_aux_1 *,63,counter_aux_0 aux_1 *,7,aux_2 counter_aux_3 *,63,counter_aux_2 aux_3 *
603,64 102 113,20,94 8 113,28,22,105,49,53,102,75,86,166,102,-38,86,77,var_0 counter_var_1 +,14,counter_var_0 var_1 +,38,aux_0 counter_aux_1 *,79,counter_aux_0 aux_1 *,38,aux_2 counter_aux_3 *,79,counter_aux_2 aux_3 *
604,31 65 113,13,53 62 113,57,97,69,111,96,2,79,104,96,115,-34,-9,55,var_0 counter_var_1 +,53,counter_var_0 var_1 +,40,aux_0 counter_aux_1 *,45,counter_aux_0 aux_1 *,40,aux_2 counter_aux_3 *,45,counter_aux_2 aux_3 *
605,90 47 113,15,70 30 113,77,41,51,4,24,100,43,40,137,100,43,40,81,var_0 counter_var_1 +,92,counter_var_0 var_1 +,56,aux_0 counter_aux_1 *,6,counter_aux_0 aux_1 *,56,aux_2 counter_aux_3 *,6,counter_aux_2 aux_3 *
606,15 33 113,40,93 44 113,112,61,41,98,48,24,95,49,48,137,-18,49,97,var_0 counter_var_1 +,102,counter_var_0 var_1 +,92,aux_0 counter_aux_1 *,20,counter_aux_0 aux_1 *,92,aux_2 counter_aux_3 *,20,counter_aux_2 aux_3 *
607,69 34 113,102,44 106 113,15,15,87,64,103,37,35,51,103,150,35,-62,79,var_0 counter_var_1 +,102,counter_var_0 var_1 +,55,aux_0 counter_aux_1 *,52,counter_aux_0 aux_1 *,55,aux_2 counter_aux_3 *,52,counter_aux_2 aux_3 *
608,62 53 113,18,89 30 113,2,11,16,4,2,6,9,59,115,119,9,59,6,var_0 counter_var_1 +,27,counter_var_0 var_1 +,5,aux_0 counter_aux_1 *,54,counter_aux_0 aux_1 *,5,aux_2 counter_aux_3 *,54,counter_aux_2 aux_3 *
609,105 75 113,89,80 62 113,64,72,25,111,67,29,30,18,180,142,30,18,62,var_0 counter_var_1 +,97,counter_var_0 var_1 +,76,aux_0 counter_aux_1 *,79,counter_aux_0 aux_1 *,76,aux_2 counter_aux_3 *,79,counter_aux_2 aux_3 *
610,98 48 113,68,11 51 113,112,8,69,111,33,62,50,73,146,62,50,-40,110,var_0 counter_var_1 +,77,counter_var_0 var_1 +,36,aux_0 counter_aux_1 *,49,counter_aux_0 aux_1 *,36,aux_2 counter_aux_3 *,49,counter_aux_2 aux_3 *
611,13 64 113,28,4 43 113,56,16,85,72,77,47,62,74,77,47,-51,-39,15,var_0 counter_var_1 +,101,counter_var_0 var_1 +,48,aux_0 counter_aux_1 *,89,counter_aux_0 aux_1 *,48,aux_2 counter_aux_3 *,89,counter_aux_2 aux_3 *
612,11 91 113,89,68 86 113,8,104,81,62,102,41,33,95,102,154,-80,-18,70,var_0 counter_var_1 +,72,counter_var_0 var_1 +,85,aux_0 counter_aux_1 *,110,counter_aux_0 aux_1 *,85,aux_2 counter_aux_3 *,110,counter_aux_2 aux_3 *
613,100 47 113,107,39 77 113,56,52,51,60,34,3,53,75,147,116,53,-38,3,var_0 counter_var_1 +,103,counter_var_0 var_1 +,64,aux_0 counter_aux_1 *,46,counter_aux_0 aux_1 *,64,aux_2 counter_aux_3 *,46,counter_aux_2 aux_3 *
614,88 58 113,86,38 4 113,60,88,26,97,33,42,30,34,146,42,30,34,44,var_0 counter_var_1 +,1,counter_var_0 var_1 +,105,aux_0 counter_aux_1 *,17,counter_aux_0 aux_1 *,105,aux_2 counter_aux_3 *,17,counter_aux_2 aux_3 *
615,107 1 113,35,45 48 113,36,104,112,69,108,93,106,110,108,93,106,-3,105,var_0 counter_var_1 +,103,counter_var_0 var_1 +,15,aux_0 counter_aux_1 *,27,counter_aux_0 aux_1 *,15,aux_2 counter_aux_3 *,27,counter_aux_2 aux_3 *
616,11 51 113,6,96 6 113,8,63,111,77,62,102,73,90,62,102,-40,90,85,var_0 counter_var_1 +,61,counter_var_0 var_1 +,43,aux_0 counter_aux_1 *,101,counter_aux_0 aux_1 *,43,aux_2 counter_aux_3 *,101,counter_aux_2 aux_3 *
617,96 104 113,95,89 46 113,63,11,32,31,87,22,105,43,200,135,-8,43,94,var_0 counter_var_1 +,43,counter_var_0 var_1 +,12,aux_0 counter_aux_1 *,50,counter_aux_0 aux_1 *,12,aux_2 counter_aux_3 *,50,counter_aux_2 aux_3 *
618,108 13 113,82,94 99 113,25,22,57,30,8,80,95,108,121,193,95,-5,55,var_0 counter_var_1 +,79,counter_var_0 var_1 +,73,aux_0 counter_aux_1 *,29,counter_aux_0 aux_1 *,73,aux_2 counter_aux_3 *,29,counter_aux_2 aux_3 *
619,89 40 113,106,8 61 113,11,64,95,8,16,69,49,60,129,69,49,-53,19,var_0 counter_var_1 +,46,counter_var_0 var_1 +,56,aux_0 counter_aux_1 *,104,counter_aux_0 aux_1 *,56,aux_2 counter_aux_3 *,104,counter_aux_2 aux_3 *
620,70 10 113,54,19 39 113,41,22,13,61,80,58,60,93,80,58,60,-20,102,var_0 counter_var_1 +,35,counter_var_0 var_1 +,95,aux_0 counter_aux_1 *,90,counter_aux_0 aux_1 *,95,aux_2 counter_aux_3 *,90,counter_aux_2 aux_3 *
621,42 101 113,38,78 17 113,69,95,82,50,30,95,54,61,143,95,-59,61,6,var_0 counter_var_1 +,64,counter_var_0 var_1 +,22,aux_0 counter_aux_1 *,45,counter_aux_0 aux_1 *,22,aux_2 counter_aux_3 *,45,counter_aux_2 aux_3 *
622,66 17 113,112,81 93 113,62,7,50,52,83,61,49,101,83,174,49,-12,1,var_0 counter_var_1 +,57,counter_var_0 var_1 +,21,aux_0 counter_aux_1 *,51,counter_aux_0 aux_1 *,21,aux_2 counter_aux_3 *,51,counter_aux_2 aux_3 *
623,7 82 113,105,70 110 113,49,41,56,104,89,67,38,73,89,180,-75,-40,40,var_0 counter_var_1 +,97,counter_var_0 var_1 +,56,aux_0 counter_aux_1 *,60,counter_aux_0 aux_1 *,56,aux_2 counter_aux_3 *,60,counter_aux_2 aux_3 *
624,2 104 113,36,90 103 113,4,77,32,13,106,80,11,100,106,193,-102,-13,17,var_0 counter_var_1 +,109,counter_var_0 var_1 +,91,aux_0 counter_aux_1 *,89,counter_aux_0 aux_1 *,91,aux_2 counter_aux_3 *,89,counter_aux_2 aux_3 *
625,110 60 113,25,102 70 113,9,8,16,72,57,59,50,32,170,172,50,32,81,var_0 counter_var_1 +,24,counter_var_0 var_1 +,16,aux_0 counter_aux_1 *,12,counter_aux_0 aux_1 *,16,aux_2 counter_aux_3 *,12,counter_aux_2 aux_3 *
626,26 30 113,2,103 41 113,111,100,4,14,56,31,109,62,56,144,-4,62,12,var_0 counter_var_1 +,104,counter_var_0 var_1 +,82,aux_0 counter_aux_1 *,102,counter_aux_0 aux_1 *,82,aux_2 counter_aux_3 *,102,counter_aux_2 aux_3 *
627,99 33 113,11,104 57 113,83,81,41,28,19,48,66,47,132,161,66,47,111,var_0 counter_var_1 +,9,counter_var_0 var_1 +,102,aux_0 counter_aux_1 *,4,counter_aux_0 aux_1 *,102,aux_2 counter_aux_3 *,4,counter_aux_2 aux_3 *
628,15 99 113,29,48 61 113,112,44,30,8,1,109,29,100,114,109,-84,-13,7,var_0 counter_var_1 +,74,counter_var_0 var_1 +,100,aux_0 counter_aux_1 *,110,counter_aux_0 aux_1 *,100,aux_2 counter_aux_3 *,110,counter_aux_2 aux_3 *
629,65 14 113,74,60 4 113,44,97,30,97,79,64,51,56,79,64,51,56,28,var_0 counter_var_1 +,14,counter_var_0 var_1 +,17,aux_0 counter_aux_1 *,100,counter_aux_0 aux_1 *,17,aux_2 counter_aux_3 *,100,counter_aux_2 aux_3 *
630,34 46 113,57,10 61 113,26,100,31,8,80,71,101,62,80,71,-12,-51,34,var_0 counter_var_1 +,18,counter_var_0 var_1 +,101,aux_0 counter_aux_1 *,52,counter_aux_0 aux_1 *,101,aux_2 counter_aux_3 *,52,counter_aux_2 aux_3 *
631,3 64 113,94,49 40 113,9,28,85,95,67,89,52,9,67,89,-61,9,104,var_0 counter_var_1 +,0,counter_var_0 var_1 +,38,aux_0 counter_aux_1 *,108,counter_aux_0 aux_1 *,38,aux_2 counter_aux_3 *,108,counter_aux_2 aux_3 *
632,2 18 113,19,16 101 113,4,30,15,82,20,4,97,28,20,117,-16,-85,86,var_0 counter_var_1 +,45,counter_var_0 var_1 +,108,aux_0 counter_aux_1 *,49,counter_aux_0 aux_1 *,108,aux_2 counter_aux_3 *,49,counter_aux_2 aux_3 *
633,100 102 113,48,96 99 113,56,63,105,30,89,82,111,110,202,195,-2,-3,86,var_0 counter_var_1 +,55,counter_var_0 var_1 +,72,aux_0 counter_aux_1 *,62,counter_aux_0 aux_1 *,72,aux_2 counter_aux_3 *,62,counter_aux_2 aux_3 *
634,13 87 113,58,5 89 113,56,25,2,102,100,94,39,29,100,94,-74,-84,45,var_0 counter_var_1 +,27,counter_var_0 var_1 +,75,aux_0 counter_aux_1 *,50,counter_aux_0 aux_1 *,75,aux_2 counter_aux_3 *,50,counter_aux_2 aux_3 *
635,75 38 113,0,53 93 113,88,97,25,52,0,33,37,73,113,146,37,-40,27,var_0 counter_var_1 +,9,counter_var_0 var_1 +,0,aux_0 counter_aux_1 *,91,counter_aux_0 aux_1 *,0,aux_2 counter_aux_3 *,91,counter_aux_2 aux_3 *
636,27 82 113,107,49 37 113,51,28,56,100,109,86,58,12,109,86,-55,12,38,var_0 counter_var_1 +,84,counter_var_0 var_1 +,65,aux_0 counter_aux_1 *,16,counter_aux_0 aux_1 *,65,aux_2 counter_aux_3 *,16,counter_aux_2 aux_3 *
637,107 58 113,62,18 49 113,36,98,26,85,52,67,49,82,165,67,49,-31,8,var_0 counter_var_1 +,11,counter_var_0 var_1 +,83,aux_0 counter_aux_1 *,6,counter_aux_0 aux_1 *,83,aux_2 counter_aux_3 *,6,counter_aux_2 aux_3 *
638,12 6 113,108,33 23 113,31,72,77,36,18,56,6,10,18,56,6,10,67,var_0 counter_var_1 +,36,counter_var_0 var_1 +,67,aux_0 counter_aux_1 *,110,counter_aux_0 aux_1 *,67,aux_2 counter_aux_3 *,110,counter_aux_2 aux_3 *
639,65 10 113,57,49 78 113,44,28,13,18,75,14,55,84,75,127,55,-29,62,var_0 counter_var_1 +,41,counter_var_0 var_1 +,85,aux_0 counter_aux_1 *,92,counter_aux_0 aux_1 *,85,aux_2 counter_aux_3 *,92,counter_aux_2 aux_3 *
640,112 26 113,3,46 37 113,1,82,2,100,25,83,86,9,138,83,86,9,101,var_0 counter_var_1 +,84,counter_var_0 var_1 +,112,aux_0 counter_aux_1 *,19,counter_aux_0 aux_1 *,112,aux_2 counter_aux_3 *,19,counter_aux_2 aux_3 *
641,52 41 113,6,52 100 113,105,105,14,57,93,39,11,65,93,152,11,-48,49,var_0 counter_var_1 +,6,counter_var_0 var_1 +,56,aux_0 counter_aux_1 *,90,counter_aux_0 aux_1 *,56,aux_2 counter_aux_3 *,90,counter_aux_2 aux_3 *
642,7 78 113,67,55 21 113,49,87,18,11,85,76,42,34,85,76,-71,34,60,var_0 counter_var_1 +,105,counter_var_0 var_1 +,65,aux_0 counter_aux_1 *,28,counter_aux_0 aux_1 *,65,aux_2 counter_aux_3 *,28,counter_aux_2 aux_3 *
643,32 73 113,102,67 8 113,7,82,95,49,105,75,72,59,105,75,-41,59,56,var_0 counter_var_1 +,64,counter_var_0 var_1 +,93,aux_0 counter_aux_1 *,89,counter_aux_0 aux_1 *,93,aux_2 counter_aux_3 *,89,counter_aux_2 aux_3 *
644,45 88 113,44,103 0 113,104,100,53,0,20,103,70,103,133,103,-43,103,104,var_0 counter_var_1 +,40,counter_var_0 var_1 +,26,aux_0 counter_aux_1 *,91,counter_aux_0 aux_1 *,26,aux_2 counter_aux_3 *,91,counter_aux_2 aux_3 *
645,11 109 113,105,27 91 113,8,51,97,81,7,5,15,49,120,118,-98,-64,89,var_0 counter_var_1 +,35,counter_var_0 var_1 +,4,aux_0 counter_aux_1 *,75,counter_aux_0 aux_1 *,4,aux_2 counter_aux_3 *,75,counter_aux_2 aux_3 *
646,62 76 113,102,32 65 113,2,7,100,69,25,97,99,80,138,97,-14,-33,71,var_0 counter_var_1 +,107,counter_var_0 var_1 +,79,aux_0 counter_aux_1 *,111,counter_aux_0 aux_1 *,79,aux_2 counter_aux_3 *,111,counter_aux_2 aux_3 *
647,27 15 113,52,87 50 113,51,111,1,99,42,24,12,37,42,137,12,37,37,var_0 counter_var_1 +,112,counter_var_0 var_1 +,85,aux_0 counter_aux_1 *,62,counter_aux_0 aux_1 *,85,aux_2 counter_aux_3 *,62,counter_aux_2 aux_3 *
648,77 104 113,85,20 78 113,53,61,32,18,68,98,86,55,181,98,-27,-58,71,var_0 counter_var_1 +,93,counter_var_0 var_1 +,11,aux_0 counter_aux_1 *,66,counter_aux_0 aux_1 *,11,aux_2 counter_aux_3 *,66,counter_aux_2 aux_3 *
649,88 71 113,104,8 5 113,60,64,44,88,46,13,17,3,159,13,17,3,35,var_0 counter_var_1 +,108,counter_var_0 var_1 +,25,aux_0 counter_aux_1 *,108,counter_aux_0 aux_1 *,25,aux_2 counter_aux_3 *,108,counter_aux_2 aux_3 *
650,87 27 113,60,12 61 113,111,31,62,8,1,73,60,64,114,73,60,-49,6,var_0 counter_var_1 +,93,counter_var_0 var_1 +,64,aux_0 counter_aux_1 *,86,counter_aux_0 aux_1 *,64,aux_2 counter_aux_3 *,86,counter_aux_2 aux_3 *
651,81 77 113,67,92 35 113,7,102,60,18,45,14,4,57,158,127,4,57,25,var_0 counter_var_1 +,49,counter_var_0 var_1 +,79,aux_0 counter_aux_1 *,56,counter_aux_0 aux_1 *,79,aux_2 counter_aux_3 *,56,counter_aux_2 aux_3 *
652,31 63 113,43,17 89 113,57,63,99,102,94,106,81,41,94,106,-32,-72,46,var_0 counter_var_1 +,49,counter_var_0 var_1 +,12,aux_0 counter_aux_1 *,111,counter_aux_0 aux_1 *,12,aux_2 counter_aux_3 *,111,counter_aux_2 aux_3 *
653,59 11 113,83,22 81 113,91,32,105,106,70,103,48,54,70,103,48,-59,84,var_0 counter_var_1 +,24,counter_var_0 var_1 +,51,aux_0 counter_aux_1 *,85,counter_aux_0 aux_1 *,51,aux_2 counter_aux_3 *,85,counter_aux_2 aux_3 *
654,9 81 113,74,30 16 113,81,109,106,83,90,46,41,14,90,46,-72,14,51,var_0 counter_var_1 +,102,counter_var_0 var_1 +,17,aux_0 counter_aux_1 *,78,counter_aux_0 aux_1 *,17,aux_2 counter_aux_3 *,78,counter_aux_2 aux_3 *
655,77 26 113,55,85 34 113,53,106,2,87,103,6,51,51,103,119,51,51,27,var_0 counter_var_1 +,108,counter_var_0 var_1 +,55,aux_0 counter_aux_1 *,80,counter_aux_0 aux_1 *,55,aux_2 counter_aux_3 *,80,counter_aux_2 aux_3 *
656,106 63 113,35,84 9 113,49,50,99,32,56,93,43,75,169,93,43,75,81,var_0 counter_var_1 +,36,counter_var_0 var_1 +,19,aux_0 counter_aux_1 *,44,counter_aux_0 aux_1 *,19,aux_2 counter_aux_3 *,44,counter_aux_2 aux_3 *
657,49 38 113,53,105 96 113,28,64,25,50,87,88,11,9,87,201,11,9,78,var_0 counter_var_1 +,89,counter_var_0 var_1 +,105,aux_0 counter_aux_1 *,64,counter_aux_0 aux_1 *,105,aux_2 counter_aux_3 *,64,counter_aux_2 aux_3 *
658,52 94 113,83,85 78 113,105,106,91,18,33,50,71,7,146,163,-42,7,10,var_0 counter_var_1 +,84,counter_var_0 var_1 +,5,aux_0 counter_aux_1 *,47,counter_aux_0 aux_1 *,5,aux_2 counter_aux_3 *,47,counter_aux_2 aux_3 *
659,92 74 113,50,40 5 113,102,18,61,88,53,45,18,35,166,45,18,35,77,var_0 counter_var_1 +,79,counter_var_0 var_1 +,47,aux_0 counter_aux_1 *,19,counter_aux_0 aux_1 *,47,aux_2 counter_aux_3 *,19,counter_aux_2 aux_3 *
660,40 45 113,27,58 15 113,18,87,9,1,85,73,108,43,85,73,-5,43,19,var_0 counter_var_1 +,96,counter_var_0 var_1 +,39,aux_0 counter_aux_1 *,87,counter_aux_0 aux_1 *,39,aux_2 counter_aux_3 *,87,counter_aux_2 aux_3 *
661,109 96 113,66,7 36 113,16,49,50,60,92,43,13,84,205,43,13,-29,76,var_0 counter_var_1 +,99,counter_var_0 var_1 +,44,aux_0 counter_aux_1 *,107,counter_aux_0 aux_1 *,44,aux_2 counter_aux_3 *,107,counter_aux_2 aux_3 *
662,15 107 113,76,32 104 113,112,7,77,32,9,23,21,41,122,136,-92,-72,31,var_0 counter_var_1 +,84,counter_var_0 var_1 +,30,aux_0 counter_aux_1 *,31,counter_aux_0 aux_1 *,30,aux_2 counter_aux_3 *,31,counter_aux_2 aux_3 *
663,95 32 113,91,72 46 113,98,99,106,31,14,5,63,26,127,118,63,26,16,var_0 counter_var_1 +,92,counter_var_0 var_1 +,25,aux_0 counter_aux_1 *,89,counter_aux_0 aux_1 *,25,aux_2 counter_aux_3 *,89,counter_aux_2 aux_3 *
664,45 98 113,105,101 78 113,104,31,1,18,30,66,60,23,143,179,-53,23,9,var_0 counter_var_1 +,32,counter_var_0 var_1 +,12,aux_0 counter_aux_1 *,5,counter_aux_0 aux_1 *,12,aux_2 counter_aux_3 *,5,counter_aux_2 aux_3 *
665,19 13 113,79,29 86 113,22,50,57,62,32,2,6,56,32,115,6,-57,84,var_0 counter_var_1 +,107,counter_var_0 var_1 +,97,aux_0 counter_aux_1 *,12,counter_aux_0 aux_1 *,97,aux_2 counter_aux_3 *,12,counter_aux_2 aux_3 *
666,95 78 113,3,38 105 113,98,88,18,49,60,30,17,46,173,143,17,-67,34,var_0 counter_var_1 +,106,counter_var_0 var_1 +,48,aux_0 counter_aux_1 *,58,counter_aux_0 aux_1 *,48,aux_2 counter_aux_3 *,58,counter_aux_2 aux_3 *
667,106 10 113,62,79 51 113,49,26,13,111,3,17,96,28,116,130,96,28,47,var_0 counter_var_1 +,39,counter_var_0 var_1 +,84,aux_0 counter_aux_1 *,50,counter_aux_0 aux_1 *,84,aux_2 counter_aux_3 *,50,counter_aux_2 aux_3 *
668,79 98 113,27,61 34 113,26,105,1,87,64,95,94,27,177,95,-19,27,0,var_0 counter_var_1 +,106,counter_var_0 var_1 +,33,aux_0 counter_aux_1 *,3,counter_aux_0 aux_1 *,33,aux_2 counter_aux_3 *,3,counter_aux_2 aux_3 *
669,29 35 113,68,109 28 113,50,16,18,7,64,24,107,81,64,137,-6,81,57,var_0 counter_var_1 +,34,counter_var_0 var_1 +,99,aux_0 counter_aux_1 *,82,counter_aux_0 aux_1 *,99,aux_2 counter_aux_3 *,82,counter_aux_2 aux_3 *
670,12 38 113,56,8 88 113,31,64,25,53,50,96,87,33,50,96,-26,-80,84,var_0 counter_var_1 +,89,counter_var_0 var_1 +,68,aux_0 counter_aux_1 *,103,counter_aux_0 aux_1 *,68,aux_2 counter_aux_3 *,103,counter_aux_2 aux_3 *
671,40 17 113,68,59 55 113,18,91,50,26,57,1,23,4,57,114,23,4,44,var_0 counter_var_1 +,28,counter_var_0 var_1 +,2,aux_0 counter_aux_1 *,23,counter_aux_0 aux_1 *,2,aux_2 counter_aux_3 *,23,counter_aux_2 aux_3 *
672,67 39 113,30,90 21 113,82,77,61,11,106,111,28,69,106,111,28,69,93,var_0 counter_var_1 +,25,counter_var_0 var_1 +,82,aux_0 counter_aux_1 *,57,counter_aux_0 aux_1 *,82,aux_2 counter_aux_3 *,57,counter_aux_2 aux_3 *
673,18 34 113,72,106 36 113,98,49,87,60,52,29,97,70,52,142,-16,70,45,var_0 counter_var_1 +,23,counter_var_0 var_1 +,24,aux_0 counter_aux_1 *,101,counter_aux_0 aux_1 *,24,aux_2 counter_aux_3 *,101,counter_aux_2 aux_3 *
674,83 80 113,37,4 109 113,109,16,41,97,50,0,3,8,163,113,3,-105,93,var_0 counter_var_1 +,57,counter_var_0 var_1 +,61,aux_0 counter_aux_1 *,0,counter_aux_0 aux_1 *,61,aux_2 counter_aux_3 *,0,counter_aux_2 aux_3 *
675,3 4 113,106,6 86 113,9,36,97,62,7,92,112,33,7,92,-1,-80,71,var_0 counter_var_1 +,20,counter_var_0 var_1 +,5,aux_0 counter_aux_1 *,21,counter_aux_0 aux_1 *,5,aux_2 counter_aux_3 *,21,counter_aux_2 aux_3 *
676,105 10 113,77,89 1 113,64,11,13,112,2,90,95,88,115,90,95,88,63,var_0 counter_var_1 +,24,counter_var_0 var_1 +,63,aux_0 counter_aux_1 *,75,counter_aux_0 aux_1 *,63,aux_2 counter_aux_3 *,75,counter_aux_2 aux_3 *
677,37 17 113,63,77 96 113,13,53,50,50,54,60,20,94,54,173,20,-19,63,var_0 counter_var_1 +,103,counter_var_0 var_1 +,104,aux_0 counter_aux_1 *,70,counter_aux_0 aux_1 *,104,aux_2 counter_aux_3 *,70,counter_aux_2 aux_3 *
678,8 63 113,50,53 22 113,64,97,99,81,71,75,58,31,71,75,-55,31,32,var_0 counter_var_1 +,83,counter_var_0 var_1 +,54,aux_0 counter_aux_1 *,56,counter_aux_0 aux_1 *,54,aux_2 counter_aux_3 *,56,counter_aux_2 aux_3 *
679,93 73 113,43,111 41 113,61,4,95,14,53,39,20,70,166,152,20,70,75,var_0 counter_var_1 +,99,counter_var_0 var_1 +,94,aux_0 counter_aux_1 *,102,counter_aux_0 aux_1 *,94,aux_2 counter_aux_3 *,102,counter_aux_2 aux_3 *
