,data,labels,counterfactual_data,var_0,counter_var_0
1465,95 30 113,12,54 50 113,12,104
1466,107 112 113,106,58 56 113,106,1
1467,75 33 113,108,28 110 113,108,25
1468,46 38 113,84,109 70 113,84,66
1469,77 2 113,79,99 34 113,79,20
1470,99 85 113,71,84 29 113,71,0
1471,17 48 113,65,16 44 113,65,60
1472,110 48 113,45,100 36 113,45,23
1473,70 6 113,76,31 35 113,76,66
1474,19 39 113,58,32 45 113,58,77
1475,83 40 113,10,57 57 113,10,1
1476,38 57 113,95,47 52 113,95,99
1477,86 29 113,2,88 86 113,2,61
1478,1 70 113,71,100 37 113,71,24
1479,43 108 113,38,48 107 113,38,42
1480,61 43 113,104,49 93 113,104,29
1481,95 34 113,16,16 80 113,16,96
1482,72 29 113,101,56 67 113,101,10
1483,94 101 113,82,84 43 113,82,14
1484,64 81 113,32,57 64 113,32,8
1485,34 96 113,17,88 90 113,17,65
1486,13 92 113,105,59 78 113,105,24
1487,103 53 113,43,88 4 113,43,92
1488,64 2 113,66,107 91 113,66,85
1489,21 91 113,112,100 9 113,112,109
1490,8 78 113,86,106 42 113,86,35
1491,20 37 113,57,10 0 113,57,10
1492,73 104 113,64,21 84 113,64,105
1493,83 12 113,95,80 33 113,95,0
1494,25 112 113,24,30 88 113,24,5
1495,91 56 113,34,23 105 113,34,15
1496,68 38 113,106,95 112 113,106,94
1497,46 76 113,9,49 28 113,9,77
1498,28 81 113,109,15 103 113,109,5
1499,36 38 113,74,17 101 113,74,5
1500,101 42 113,30,48 38 113,30,86
1501,46 49 113,95,8 18 113,95,26
1502,61 94 113,42,9 51 113,42,60
1503,27 56 113,83,14 13 113,83,27
1504,25 33 113,58,80 3 113,58,83
1505,65 57 113,9,110 55 113,9,52
1506,10 43 113,53,17 83 113,53,100
1507,76 106 113,69,66 20 113,69,86
1508,5 38 113,43,82 46 113,43,15
1509,20 90 113,110,78 81 113,110,46
1510,62 91 113,40,26 19 113,40,45
1511,37 35 113,72,19 49 113,72,68
1512,17 59 113,76,35 70 113,76,105
1513,15 98 113,0,112 46 113,0,45
1514,48 83 113,18,24 53 113,18,77
1515,112 34 113,33,25 16 113,33,41
1516,59 90 113,36,62 44 113,36,106
1517,49 77 113,13,68 70 113,13,25
1518,59 107 113,53,53 11 113,53,64
1519,20 70 113,90,17 20 113,90,37
1520,11 7 113,18,104 72 113,18,63
1521,95 42 113,24,51 95 113,24,33
1522,45 49 113,94,61 41 113,94,102
1523,15 1 113,16,64 85 113,16,36
1524,65 19 113,84,70 40 113,84,110
1525,90 107 113,84,52 42 113,84,94
1526,88 20 113,108,31 6 113,108,37
1527,93 2 113,95,98 63 113,95,48
1528,74 63 113,24,15 16 113,24,31
1529,29 99 113,15,46 34 113,15,80
1530,9 71 113,80,51 19 113,80,70
1531,66 6 113,72,90 111 113,72,88
1532,91 74 113,52,42 24 113,52,66
1533,40 78 113,5,8 24 113,5,32
1534,35 26 113,61,50 91 113,61,28
1535,28 6 113,34,41 99 113,34,27
1536,58 96 113,41,71 67 113,41,25
1537,88 36 113,11,77 53 113,11,17
1538,63 42 113,105,47 26 113,105,73
1539,40 92 113,19,69 102 113,19,58
1540,104 87 113,78,60 44 113,78,104
1541,6 59 113,65,8 37 113,65,45
1542,42 82 113,11,108 3 113,11,111
1543,12 103 113,2,2 33 113,2,35
1544,105 56 113,48,111 91 113,48,89
1545,0 103 113,103,74 108 113,103,69
1546,110 105 113,102,20 54 113,102,74
1547,25 35 113,60,5 105 113,60,110
1548,8 101 113,109,32 67 113,109,99
1549,80 75 113,42,51 51 113,42,102
1550,2 65 113,67,70 42 113,67,112
1551,25 47 113,72,59 33 113,72,92
1552,4 98 113,102,80 7 113,102,87
1553,44 36 113,80,73 61 113,80,21
1554,90 54 113,31,105 23 113,31,15
1555,39 106 113,32,74 40 113,32,1
1556,78 97 113,62,26 97 113,62,10
1557,77 89 113,53,52 2 113,53,54
1558,71 90 113,48,74 18 113,48,92
1559,66 106 113,59,56 109 113,59,52
1560,62 47 113,109,41 80 113,109,8
1561,104 83 113,74,14 32 113,74,46
1562,25 88 113,0,84 34 113,0,5
1563,86 6 113,92,24 63 113,92,87
1564,72 47 113,6,55 61 113,6,3
1565,51 32 113,83,85 44 113,83,16
1566,27 31 113,58,9 36 113,58,45
1567,74 99 113,60,59 23 113,60,82
1568,111 109 113,107,29 56 113,107,85
1569,38 19 113,57,93 15 113,57,108
1570,44 22 113,66,10 57 113,66,67
1571,10 29 113,39,75 21 113,39,96
1572,72 71 113,30,42 54 113,30,96
1573,51 61 113,112,106 95 113,112,88
1574,49 89 113,25,52 39 113,25,91
1575,53 28 113,81,53 45 113,81,98
1576,103 55 113,45,19 15 113,45,34
1577,90 48 113,25,6 2 113,25,8
1578,57 11 113,68,9 105 113,68,1
1579,41 36 113,77,59 48 113,77,107
1580,41 66 113,107,82 84 113,107,53
1581,112 21 113,20,107 88 113,20,82
1582,26 37 113,63,106 71 113,63,64
1583,90 23 113,0,73 73 113,0,33
1584,67 47 113,1,4 58 113,1,62
1585,16 104 113,7,50 54 113,7,104
1586,61 37 113,98,13 36 113,98,49
1587,82 6 113,88,92 98 113,88,77
1588,17 1 113,18,64 96 113,18,47
1589,59 97 113,43,34 70 113,43,104
1590,83 71 113,41,14 79 113,41,93
1591,12 100 113,112,82 92 113,112,61
1592,80 21 113,101,87 25 113,101,112
1593,72 10 113,82,108 72 113,82,67
1594,3 57 113,60,39 5 113,60,44
1595,9 51 113,60,90 90 113,60,67
1596,65 33 113,98,88 18 113,98,106
1597,28 23 113,51,48 13 113,51,61
1598,61 84 113,32,83 44 113,32,14
1599,65 53 113,5,35 51 113,5,86
1600,46 59 113,105,74 104 113,105,65
1601,86 51 113,24,29 91 113,24,7
1602,12 89 113,101,75 71 113,101,33
1603,104 60 113,51,81 110 113,51,78
1604,20 0 113,20,94 76 113,20,57
1605,74 59 113,20,83 103 113,20,73
1606,110 57 113,54,81 40 113,54,8
1607,72 105 113,64,13 43 113,64,56
1608,73 43 113,3,94 44 113,3,25
1609,28 107 113,22,84 82 113,22,53
1610,66 95 113,48,20 40 113,48,60
1611,15 9 113,24,31 12 113,24,43
1612,101 0 113,101,112 37 113,101,36
1613,10 42 113,52,79 33 113,52,112
1614,106 64 113,57,56 53 113,57,109
1615,25 5 113,30,82 61 113,30,30
1616,7 18 113,25,19 43 113,25,62
1617,11 24 113,35,47 64 113,35,111
1618,96 94 113,77,20 72 113,77,92
1619,108 23 113,18,39 60 113,18,99
1620,96 47 113,30,17 51 113,30,68
1621,66 103 113,56,71 31 113,56,102
1622,102 67 113,56,29 53 113,56,82
1623,97 3 113,100,50 101 113,100,38
1624,30 74 113,104,82 72 113,104,41
1625,97 66 113,50,74 27 113,50,101
1626,46 41 113,87,40 18 113,87,58
1627,105 44 113,36,67 59 113,36,13
1628,61 69 113,17,13 32 113,17,45
1629,27 46 113,73,70 109 113,73,66
1630,20 107 113,14,0 94 113,14,94
1631,67 58 113,12,88 57 113,12,32
1632,37 104 113,28,93 45 113,28,25
1633,57 21 113,78,13 109 113,78,9
1634,59 112 113,58,59 66 113,58,12
1635,102 96 113,85,86 43 113,85,16
1636,88 89 113,64,18 56 113,64,74
1637,69 0 113,69,37 52 113,69,89
1638,23 110 113,20,85 96 113,20,68
1639,21 27 113,48,27 100 113,48,14
1640,0 62 113,62,7 97 113,62,104
1641,108 87 113,82,93 28 113,82,8
1642,19 11 113,30,60 0 113,30,60
1643,65 12 113,77,3 53 113,77,56
1644,38 69 113,107,93 57 113,107,37
1645,78 107 113,72,56 40 113,72,96
1646,5 67 113,72,105 73 113,72,65
1647,56 111 113,54,92 84 113,54,63
1648,8 93 113,101,30 53 113,101,83
1649,27 90 113,4,76 12 113,4,88
1650,50 11 113,61,2 45 113,61,47
1651,68 37 113,105,54 68 113,105,9
1652,82 32 113,1,67 23 113,1,90
1653,53 92 113,32,49 48 113,32,97
1654,90 89 113,66,40 0 113,66,40
1655,70 108 113,65,108 88 113,65,83
1656,11 64 113,75,103 49 113,75,39
1657,77 50 113,14,111 20 113,14,18
1658,26 105 113,18,66 69 113,18,22
1659,45 43 113,88,46 15 113,88,61
1660,89 79 113,55,8 41 113,55,49
1661,84 92 113,63,107 27 113,63,21
1662,65 59 113,11,58 62 113,11,7
1663,48 95 113,30,71 37 113,30,108
1664,16 49 113,65,72 109 113,65,68
1665,45 10 113,55,111 50 113,55,48
1666,55 15 113,70,85 71 113,70,43
1667,38 97 113,22,98 77 113,22,62
1668,44 25 113,69,43 32 113,69,75
1669,73 40 113,0,54 83 113,0,24
1670,109 39 113,35,101 20 113,35,8
1671,86 74 113,47,28 17 113,47,45
1672,61 103 113,51,19 63 113,51,82
1673,15 18 113,33,69 58 113,33,14
1674,94 41 113,22,61 9 113,22,70
1675,57 90 113,34,31 100 113,34,18
1676,97 78 113,62,95 11 113,62,106
1677,42 71 113,0,48 31 113,0,79
1678,52 70 113,9,97 22 113,9,6
1679,56 41 113,97,11 62 113,97,73
1680,78 92 113,57,104 93 113,57,84
1681,68 10 113,78,101 8 113,78,109
1682,86 18 113,104,59 95 113,104,41
1683,28 95 113,10,68 104 113,10,59
1684,38 4 113,42,70 93 113,42,50
1685,91 86 113,64,43 45 113,64,88
1686,30 17 113,47,38 73 113,47,111
1687,50 107 113,44,105 15 113,44,7
1688,54 79 113,20,29 105 113,20,21
1689,3 12 113,15,34 49 113,15,83
1690,3 11 113,14,86 42 113,14,15
1691,94 111 113,92,104 59 113,92,50
1692,14 99 113,0,34 8 113,0,42
1693,70 86 113,43,86 26 113,43,112
1694,98 37 113,22,107 64 113,22,58
1695,102 76 113,65,31 62 113,65,93
1696,108 44 113,39,67 65 113,39,19
1697,93 67 113,47,7 12 113,47,19
1698,101 61 113,49,56 0 113,49,56
1699,24 64 113,88,91 50 113,88,28
1700,100 6 113,106,6 57 113,106,63
1701,80 23 113,103,38 98 113,103,23
1702,87 52 113,26,20 70 113,26,90
1703,29 53 113,82,17 108 113,82,12
1704,92 33 113,12,31 36 113,12,67
1705,95 11 113,106,84 89 113,106,60
1706,37 32 113,69,1 46 113,69,47
1707,20 7 113,27,39 66 113,27,105
1708,108 10 113,5,39 43 113,5,82
1709,107 37 113,31,25 56 113,31,81
1710,53 13 113,66,41 29 113,66,70
1711,76 0 113,76,105 13 113,76,5
1712,46 9 113,55,5 87 113,55,92
1713,76 104 113,67,75 100 113,67,62
1714,79 36 113,2,96 111 113,2,94
1715,85 110 113,82,26 17 113,82,43
1716,46 67 113,0,79 27 113,0,106
1717,33 22 113,55,55 110 113,55,52
1718,33 73 113,106,81 3 113,106,84
1719,24 98 113,9,86 88 113,9,61
1720,69 57 113,13,9 98 113,13,107
1721,9 53 113,62,37 81 113,62,5
1722,12 82 113,94,64 37 113,94,101
1723,46 30 113,76,63 95 113,76,45
1724,76 70 113,33,20 111 113,33,18
1725,69 78 113,34,0 36 113,34,36
1726,1 55 113,56,40 17 113,56,57
1727,87 1 113,88,46 111 113,88,44
1728,45 68 113,0,95 44 113,0,26
1729,81 61 113,29,49 82 113,29,18
1730,55 5 113,60,34 105 113,60,26
1731,25 102 113,14,91 59 113,14,37
1732,8 31 113,39,40 7 113,39,47
1733,44 39 113,83,37 21 113,83,58
1734,100 82 113,69,84 63 113,69,34
1735,78 11 113,89,37 44 113,89,81
1736,32 100 113,19,41 97 113,19,25
1737,7 20 113,27,39 57 113,27,96
1738,73 46 113,6,111 67 113,6,65
1739,90 106 113,83,21 68 113,83,89
1740,0 55 113,55,111 12 113,55,10
1741,62 1 113,63,64 45 113,63,109
1742,74 44 113,5,48 36 113,5,84
1743,1 98 113,99,85 55 113,99,27
1744,56 53 113,109,15 2 113,109,17
1745,85 60 113,32,91 64 113,32,42
1746,94 58 113,39,98 33 113,39,18
1747,94 1 113,95,51 24 113,95,75
1748,51 67 113,5,33 57 113,5,90
1749,18 4 113,22,42 19 113,22,61
1750,108 80 113,75,43 40 113,75,83
1751,79 103 113,69,3 12 113,69,15
1752,21 109 113,17,12 22 113,17,34
1753,72 27 113,99,32 111 113,99,30
1754,27 20 113,47,36 66 113,47,102
1755,5 56 113,61,8 48 113,61,56
1756,8 4 113,12,101 81 113,12,69
1757,6 17 113,23,47 88 113,23,22
1758,96 46 113,29,69 70 113,29,26
1759,69 12 113,81,45 109 113,81,41
1760,63 80 113,30,65 34 113,30,99
1761,16 56 113,72,57 92 113,72,36
1762,11 95 113,106,68 102 113,106,57
1763,1 100 113,101,36 55 113,101,91
1764,77 43 113,7,4 70 113,7,74
1765,92 111 113,90,111 48 113,90,46
1766,80 50 113,17,62 27 113,17,89
1767,78 48 113,13,52 65 113,13,4
1768,6 72 113,78,33 21 113,78,54
1769,35 55 113,90,14 24 113,90,38
1770,26 95 113,8,17 70 113,8,87
1771,9 49 113,58,23 7 113,58,30
1772,94 91 113,72,45 95 113,72,27
1773,82 29 113,111,51 106 113,111,44
1774,100 0 113,100,23 10 113,100,33
1775,53 32 113,85,61 90 113,85,38
1776,20 56 113,76,33 76 113,76,109
1777,6 87 113,93,33 90 113,93,10
1778,10 39 113,49,93 58 113,49,38
1779,65 13 113,78,75 6 113,78,81
1780,66 19 113,85,46 55 113,85,101
1781,59 9 113,68,23 65 113,68,88
1782,31 80 113,111,67 63 113,111,17
1783,64 62 113,13,79 47 113,13,13
1784,110 34 113,31,47 111 113,31,45
1785,62 15 113,77,106 86 113,77,79
1786,94 3 113,97,90 62 113,97,39
1787,59 43 113,102,23 28 113,102,51
1788,45 36 113,81,63 48 113,81,111
1789,35 31 113,66,82 102 113,66,71
1790,2 66 113,68,22 29 113,68,51
1791,47 47 113,94,100 102 113,94,89
1792,0 77 113,77,105 32 113,77,24
1793,99 52 113,38,67 46 113,38,0
1794,39 105 113,31,9 33 113,31,42
1795,22 64 113,86,44 58 113,86,102
1796,81 111 113,79,18 111 113,79,16
1797,75 7 113,82,86 38 113,82,11
1798,79 51 113,17,44 72 113,17,3
1799,2 52 113,54,8 10 113,54,18
1800,0 30 113,30,83 7 113,30,90
1801,69 86 113,42,62 30 113,42,92
1802,88 26 113,1,62 73 113,1,22
1803,22 47 113,69,112 73 113,69,72
1804,16 101 113,4,91 53 113,4,31
1805,5 88 113,93,90 16 113,93,106
1806,17 81 113,98,57 61 113,98,5
1807,86 95 113,68,94 28 113,68,9
1808,36 18 113,54,45 69 113,54,1
1809,95 97 113,79,106 62 113,79,55
1810,82 23 113,105,63 92 113,105,42
1811,38 93 113,18,86 72 113,18,45
1812,16 43 113,59,21 18 113,59,39
1813,52 53 113,105,45 89 113,105,21
1814,61 53 113,1,18 92 113,1,110
1815,71 46 113,4,14 112 113,4,13
1816,43 86 113,16,43 109 113,16,39
1817,39 107 113,33,11 99 113,33,110
1818,96 52 113,35,72 33 113,35,105
1819,17 46 113,63,112 101 113,63,100
1820,9 69 113,78,73 102 113,78,62
1821,42 37 113,79,30 42 113,79,72
1822,88 87 113,62,25 99 113,62,11
1823,93 91 113,71,44 62 113,71,106
1824,44 37 113,81,29 27 113,81,56
1825,90 16 113,106,37 42 113,106,79
1826,7 90 113,97,12 89 113,97,101
1827,95 68 113,50,110 17 113,50,14
1828,84 90 113,61,65 93 113,61,45
1829,17 2 113,19,92 1 113,19,93
1830,95 49 113,31,17 85 113,31,102
1831,98 13 113,111,67 44 113,111,111
1832,93 101 113,81,106 6 113,81,112
1833,63 96 113,46,112 85 113,46,84
1834,24 56 113,80,7 79 113,80,86
1835,81 21 113,102,80 90 113,102,57
1836,38 36 113,74,77 91 113,74,55
1837,74 32 113,106,2 42 113,106,44
1838,32 92 113,11,62 31 113,11,93
1839,5 11 113,16,50 18 113,16,68
1840,3 92 113,95,80 64 113,95,31
1841,5 86 113,91,80 0 113,91,80
1842,18 71 113,89,95 12 113,89,107
1843,74 80 113,41,88 37 113,41,12
1844,4 79 113,83,83 65 113,83,35
1845,7 31 113,38,92 72 113,38,51
1846,16 54 113,70,86 37 113,70,10
1847,30 52 113,82,65 29 113,82,94
1848,10 31 113,41,15 33 113,41,48
1849,101 12 113,0,12 72 113,0,84
1850,43 68 113,111,112 43 113,111,42
1851,34 93 113,14,11 27 113,14,38
1852,102 102 113,91,10 29 113,91,39
1853,16 40 113,56,11 70 113,56,81
1854,59 41 113,100,68 50 113,100,5
1855,39 31 113,70,16 20 113,70,36
1856,53 23 113,76,13 101 113,76,1
1857,25 101 113,13,77 57 113,13,21
1858,111 100 113,98,9 74 113,98,83
1859,42 108 113,37,49 92 113,37,28
1860,52 36 113,88,36 26 113,88,62
1861,9 41 113,50,101 99 113,50,87
1862,60 95 113,42,13 53 113,42,66
1863,24 43 113,67,109 49 113,67,45
1864,24 5 113,29,42 73 113,29,2
1865,51 59 113,110,28 35 113,110,63
1866,107 40 113,34,39 41 113,34,80
1867,101 19 113,7,6 41 113,7,47
1868,56 52 113,108,16 45 113,108,61
1869,24 58 113,82,27 15 113,82,42
1870,19 85 113,104,104 24 113,104,15
1871,2 103 113,105,100 14 113,105,1
1872,70 55 113,12,77 102 113,12,66
1873,99 88 113,74,68 62 113,74,17
1874,110 75 113,72,43 57 113,72,100
1875,35 83 113,5,27 22 113,5,49
1876,3 38 113,41,44 78 113,41,9
1877,15 70 113,85,33 93 113,85,13
1878,74 78 113,39,21 32 113,39,53
1879,79 102 113,68,48 82 113,68,17
1880,107 82 113,76,71 38 113,76,109
1881,47 11 113,58,71 73 113,58,31
1882,6 100 113,106,29 20 113,106,49
1883,4 111 113,2,98 68 113,2,53
1884,6 46 113,52,67 79 113,52,33
1885,81 108 113,76,97 23 113,76,7
1886,81 8 113,89,75 111 113,89,73
1887,101 95 113,83,49 4 113,83,53
1888,64 40 113,104,30 14 113,104,44
1889,67 52 113,6,77 68 113,6,32
1890,51 70 113,8,14 25 113,8,39
1891,94 110 113,91,95 98 113,91,80
1892,47 53 113,100,12 65 113,100,77
1893,12 20 113,32,44 60 113,32,104
1894,71 18 113,89,112 16 113,89,15
1895,102 17 113,6,88 42 113,6,17
1896,8 62 113,70,27 74 113,70,101
1897,55 106 113,48,81 94 113,48,62
1898,26 20 113,46,37 5 113,46,42
1899,102 39 113,28,67 111 113,28,65
1900,87 110 113,84,23 61 113,84,84
1901,91 68 113,46,51 89 113,46,27
1902,7 76 113,83,59 39 113,83,98
1903,80 71 113,38,79 31 113,38,110
1904,37 1 113,38,91 85 113,38,63
1905,37 36 113,73,75 27 113,73,102
1906,16 55 113,71,94 86 113,71,67
1907,74 107 113,68,32 20 113,68,52
1908,6 25 113,31,42 46 113,31,88
1909,86 26 113,112,100 99 113,112,86
1910,71 7 113,78,60 105 113,78,52
1911,72 38 113,110,53 9 113,110,62
1912,79 71 113,37,90 101 113,37,78
1913,84 111 113,82,5 15 113,82,20
1914,19 95 113,1,109 45 113,1,41
1915,108 81 113,76,76 21 113,76,97
1916,112 81 113,80,27 60 113,80,87
1917,43 104 113,34,55 92 113,34,34
1918,35 9 113,44,43 107 113,44,37
1919,106 12 113,5,71 60 113,5,18
1920,4 66 113,70,43 78 113,70,8
1921,27 17 113,44,91 67 113,44,45
1922,40 4 113,44,63 107 113,44,57
1923,107 10 113,4,20 37 113,4,57
1924,107 2 113,109,100 105 113,109,92
1925,79 56 113,22,7 89 113,22,96
1926,0 50 113,50,34 57 113,50,91
1927,4 65 113,69,57 31 113,69,88
1928,52 48 113,100,106 10 113,100,3
1929,92 107 113,86,0 100 113,86,100
1930,8 99 113,107,0 76 113,107,76
1931,73 14 113,87,40 59 113,87,99
1932,52 34 113,86,60 84 113,86,31
1933,59 6 113,65,25 39 113,65,64
1934,86 24 113,110,12 95 113,110,107
1935,78 12 113,90,28 7 113,90,35
1936,33 44 113,77,39 110 113,77,36
1937,93 33 113,13,101 22 113,13,10
1938,93 87 113,67,42 71 113,67,0
1939,15 5 113,20,107 77 113,20,71
1940,105 29 113,21,25 68 113,21,93
1941,4 97 113,101,72 79 113,101,38
1942,79 112 113,78,69 96 113,78,52
1943,19 21 113,40,87 15 113,40,102
1944,37 14 113,51,104 111 113,51,102
1945,58 27 113,85,39 80 113,85,6
1946,68 31 113,99,54 37 113,99,91
1947,17 28 113,45,87 69 113,45,43
1948,78 111 113,76,94 81 113,76,62
1949,32 5 113,37,76 23 113,37,99
1950,50 20 113,70,65 35 113,70,100
1951,82 14 113,96,11 109 113,96,7
1952,57 99 113,43,111 33 113,43,31
1953,38 74 113,112,71 99 113,112,57
1954,79 95 113,61,94 39 113,61,20
1955,62 111 113,60,2 51 113,60,53
1956,81 13 113,94,34 34 113,94,68
1957,86 84 113,57,6 9 113,57,15
1958,14 72 113,86,93 56 113,86,36
1959,62 96 113,45,73 66 113,45,26
1960,67 104 113,58,66 5 113,58,71
1961,38 100 113,25,37 62 113,25,99
1962,95 14 113,109,55 15 113,109,70
1963,10 47 113,57,99 12 113,57,111
1964,91 82 113,60,81 2 113,60,83
1965,50 96 113,33,23 4 113,33,27
1966,43 36 113,79,40 26 113,79,66
1967,42 35 113,77,84 46 113,77,17
1968,47 5 113,52,16 93 113,52,109
1969,112 110 113,109,94 29 113,109,10
1970,70 14 113,84,108 74 113,84,69
1971,33 16 113,49,81 112 113,49,80
1972,44 111 113,42,87 109 113,42,83
1973,93 83 113,63,36 78 113,63,1
1974,100 90 113,77,110 101 113,77,98
1975,101 83 113,71,6 47 113,71,53
1976,67 37 113,104,102 69 113,104,58
1977,97 36 113,20,45 5 113,20,50
1978,12 81 113,93,69 103 113,93,59
1979,70 22 113,92,88 101 113,92,76
1980,43 95 113,25,96 10 113,25,106
1981,12 25 113,37,101 42 113,37,30
1982,96 84 113,67,19 83 113,67,102
1983,101 47 113,35,110 68 113,35,65
1984,97 38 113,22,72 53 113,22,12
1985,81 4 113,85,28 91 113,85,6
1986,4 3 113,7,39 40 113,7,79
1987,21 15 113,36,13 20 113,36,33
1988,24 53 113,77,98 16 113,77,1
1989,44 50 113,94,109 6 113,94,2
1990,95 56 113,38,29 108 113,38,24
1991,105 70 113,62,51 76 113,62,14
1992,27 48 113,75,2 54 113,75,56
1993,61 86 113,34,91 104 113,34,82
1994,15 47 113,62,53 67 113,62,7
1995,21 59 113,80,28 81 113,80,109
1996,80 34 113,1,40 81 113,1,8
1997,82 63 113,32,74 39 113,32,0
1998,41 7 113,48,15 6 113,48,21
1999,0 9 113,9,18 18 113,9,36
2000,73 60 113,20,63 6 113,20,69
2001,88 43 113,18,24 25 113,18,49
2002,89 56 113,32,18 80 113,32,98
2003,43 5 113,48,49 1 113,48,50
2004,72 35 113,107,94 0 113,107,94
2005,68 86 113,41,74 21 113,41,95
2006,111 107 113,105,17 60 113,105,77
2007,80 53 113,20,40 109 113,20,36
2008,19 8 113,27,50 1 113,27,51
2009,101 36 113,24,43 56 113,24,99
2010,70 41 113,111,10 12 113,111,22
2011,30 28 113,58,96 74 113,58,57
2012,66 68 113,21,104 31 113,21,22
2013,76 109 113,72,25 44 113,72,69
2014,13 68 113,81,80 67 113,81,34
2015,49 0 113,49,40 49 113,49,89
2016,60 97 113,44,66 25 113,44,91
2017,80 41 113,8,82 82 113,8,51
2018,59 57 113,3,60 15 113,3,75
2019,73 22 113,95,75 77 113,95,39
2020,74 23 113,97,99 60 113,97,46
2021,108 49 113,44,75 14 113,44,89
2022,7 21 113,28,40 9 113,28,49
2023,34 88 113,9,25 20 113,9,45
2024,103 71 113,61,100 20 113,61,7
2025,90 31 113,8,51 40 113,8,91
2026,34 28 113,62,58 106 113,62,51
2027,79 69 113,35,80 37 113,35,4
2028,55 16 113,71,77 58 113,71,22
2029,46 62 113,108,72 105 113,108,64
2030,57 57 113,1,24 94 113,1,5
2031,90 59 113,36,50 108 113,36,45
2032,43 85 113,15,3 86 113,15,89
2033,92 14 113,106,66 90 113,106,43
2034,79 52 113,18,94 15 113,18,109
2035,9 103 113,112,3 29 113,112,32
2036,80 72 113,39,70 75 113,39,32
2037,2 21 113,23,78 15 113,23,93
2038,34 97 113,18,63 89 113,18,39
2039,12 97 113,109,1 34 113,109,35
2040,101 63 113,51,57 106 113,51,50
2041,104 9 113,0,56 69 113,0,12
2042,15 2 113,17,89 72 113,17,48
2043,44 58 113,102,46 4 113,102,50
2044,106 53 113,46,36 69 113,46,105
2045,9 76 113,85,26 42 113,85,68
2046,39 91 113,17,26 81 113,17,107
2047,6 21 113,27,3 79 113,27,82
2048,73 88 113,48,62 28 113,48,90
2049,26 29 113,55,97 33 113,55,17
2050,86 88 113,61,57 16 113,61,73
2051,24 15 113,39,81 17 113,39,98
2052,62 103 113,52,101 98 113,52,86
2053,87 111 113,85,46 77 113,85,10
2054,78 28 113,106,89 33 113,106,9
2055,5 95 113,100,94 31 113,100,12
2056,42 81 113,10,31 10 113,10,41
2057,45 44 113,89,66 87 113,89,40
2058,105 47 113,39,102 71 113,39,60
2059,25 60 113,85,68 107 113,85,62
2060,77 40 113,4,16 42 113,4,58
2061,64 41 113,105,65 69 113,105,21
2062,35 42 113,77,36 90 113,77,13
2063,36 70 113,106,23 51 113,106,74
2064,95 37 113,19,64 98 113,19,49
2065,89 55 113,31,45 84 113,31,16
2066,83 10 113,93,98 44 113,93,29
2067,75 19 113,94,110 25 113,94,22
2068,25 22 113,47,41 46 113,47,87
2069,3 90 113,93,41 92 113,93,20
2070,63 101 113,51,36 112 113,51,35
2071,47 87 113,21,87 20 113,21,107
2072,15 15 113,30,7 39 113,30,46
2073,52 83 113,22,101 86 113,22,74
2074,68 35 113,103,35 104 113,103,26
2075,40 106 113,33,50 33 113,33,83
2076,19 63 113,82,7 88 113,82,95
2077,1 97 113,98,17 80 113,98,97
2078,17 38 113,55,20 62 113,55,82
2079,3 26 113,29,41 44 113,29,85
2080,109 79 113,75,79 106 113,75,72
2081,83 106 113,76,41 74 113,76,2
2082,92 78 113,57,91 105 113,57,83
2083,24 84 113,108,106 73 113,108,66
2084,46 2 113,48,33 59 113,48,92
2085,49 102 113,38,101 107 113,38,95
2086,64 45 113,109,15 52 113,109,67
2087,54 6 113,60,86 55 113,60,28
2088,24 111 113,22,111 44 113,22,42
2089,34 70 113,104,15 42 113,104,57
2090,66 42 113,108,51 29 113,108,80
2091,28 29 113,57,60 46 113,57,106
2092,65 110 113,62,79 55 113,62,21
2093,6 107 113,0,49 17 113,0,66
2094,65 29 113,94,93 18 113,94,111
2095,28 90 113,5,44 103 113,5,34
2096,82 11 113,93,109 77 113,93,73
2097,30 108 113,25,95 1 113,25,96
2098,60 26 113,86,111 35 113,86,33
2099,21 31 113,52,48 1 113,52,49
2100,79 106 113,72,25 54 113,72,79
2101,60 46 113,106,99 10 113,106,109
2102,56 60 113,3,21 53 113,3,74
2103,4 109 113,0,11 74 113,0,85
2104,26 27 113,53,13 14 113,53,27
2105,9 15 113,24,65 44 113,24,109
2106,13 7 113,20,34 62 113,20,96
2107,67 73 113,27,27 63 113,27,90
2108,110 104 113,101,106 8 113,101,1
2109,25 13 113,38,14 77 113,38,91
2110,101 43 113,31,38 77 113,31,2
2111,49 99 113,35,101 0 113,35,101
2112,92 101 113,80,67 55 113,80,9
2113,86 112 113,85,40 107 113,85,34
2114,41 77 113,5,51 71 113,5,9
2115,15 77 113,92,73 7 113,92,80
2116,1 23 113,24,57 93 113,24,37
2117,75 23 113,98,64 15 113,98,79
2118,84 32 113,3,105 44 113,3,36
2119,50 2 113,52,16 21 113,52,37
2120,50 65 113,2,27 84 113,2,111
2121,74 61 113,22,107 7 113,22,1
2122,74 76 113,37,60 16 113,37,76
2123,25 94 113,6,0 107 113,6,107
2124,56 112 113,55,16 56 113,55,72
2125,30 29 113,59,111 58 113,59,56
2126,90 62 113,39,36 76 113,39,112
2127,5 69 113,74,87 63 113,74,37
2128,13 31 113,44,34 20 113,44,54
2129,35 18 113,53,4 66 113,53,70
